budget,ci95_high,ci95_low,epistasis_bin,k,mean,method,metric,n,score,selection_policy,source
,0.4535987121615581,0.4103451092728574,,,0.4325268178981586,MSA_Transformer_single,pearson,217,,,zero_shot_extended_metrics.csv
,5.5522717633767265,3.4888329185722764,,,4.45277644702763,MSA_Transformer_single,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.920038099371845,4.1632555031769485,,,5.464208174482734,MSA_Transformer_single,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.46932344013041855,0.42441389081551656,,,0.4469765758839816,MSA_Transformer_ensemble,pearson,217,,,zero_shot_extended_metrics.csv
,5.702492591987731,3.594121656643823,,,4.58126939487455,MSA_Transformer_ensemble,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.864676554108547,4.10360820778286,,,5.441518031058919,MSA_Transformer_ensemble,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4473969286363359,0.3987507000910432,,,0.4234799602380049,ESM1b,pearson,217,,,zero_shot_extended_metrics.csv
,5.37982789643399,3.348500244414384,,,4.309579557343491,ESM1b,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.077589171421005,3.589985035343986,,,4.735787856029466,ESM1b,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4260724498881887,0.3722560555567621,,,0.3993315334529238,ESM1v_single,pearson,217,,,zero_shot_extended_metrics.csv
,4.663493539428586,2.892696220889572,,,3.74513805670292,ESM1v_single,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.2388030312440925,2.800308130259751,,,3.8989129580869024,ESM1v_single,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4541791723522686,0.40247949406244504,,,0.4289109325580452,ESM1v_ensemble,pearson,217,,,zero_shot_extended_metrics.csv
,5.24737402631886,3.253533057860049,,,4.212773653398766,ESM1v_ensemble,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.943936157794443,3.362180894737864,,,4.596172945046425,ESM1v_ensemble,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.25437733499833104,0.1986068101976915,,,0.22610702838264038,ESM2_8M,pearson,217,,,zero_shot_extended_metrics.csv
,3.7452845632752556,2.1764953581923643,,,2.939280688651736,ESM2_8M,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,4.396292504971858,2.295018243392071,,,3.2769633384698347,ESM2_8M,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3680828793266079,0.30777091925893235,,,0.3381572691441948,ESM2_35M,pearson,217,,,zero_shot_extended_metrics.csv
,4.992267142920909,3.195400033668939,,,4.039890463674998,ESM2_35M,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.922823150433706,3.5447302042414464,,,4.66223572722702,ESM2_35M,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.44640161732929867,0.38923121452704207,,,0.417970217533909,ESM2_150M,pearson,217,,,zero_shot_extended_metrics.csv
,5.761438012425365,3.7291110497547235,,,4.730275942943129,ESM2_150M,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.819385723446484,4.273363713665346,,,5.523067696725349,ESM2_150M,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4706476823009645,0.4169236813863689,,,0.44416267796201886,ESM2_650M,pearson,217,,,zero_shot_extended_metrics.csv
,5.522401936913119,3.7490935672321988,,,4.60695334406386,ESM2_650M,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.268023572326861,3.90421270145712,,,5.051639287125617,ESM2_650M,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4567826699922051,0.40620010124994094,,,0.4319164290159332,ESM2_3B,pearson,217,,,zero_shot_extended_metrics.csv
,5.59512717992038,3.725093101192098,,,4.618802926234418,ESM2_3B,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,6.29914960055929,3.8861357911371157,,,5.052649637807271,ESM2_3B,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4455581038410497,0.3974690804047394,,,0.42143824144902226,ESM2_15B,pearson,217,,,zero_shot_extended_metrics.csv
,4.847237311690897,2.9701097433025434,,,3.84554454179999,ESM2_15B,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.660012168137896,3.3363500475785233,,,4.444046950901575,ESM2_15B,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.4092031919858018,0.3585556493712299,,,0.3844059840482921,Wavenet,pearson,217,,,zero_shot_extended_metrics.csv
,4.604328587742867,2.7143884930645066,,,3.592855566393958,Wavenet,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.126951810717251,2.7973895732529668,,,3.8879278223053455,Wavenet,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3176056167550354,0.27023580723318075,,,0.29354137056668883,RITA_s,pearson,217,,,zero_shot_extended_metrics.csv
,4.258475358300069,2.426926039796155,,,3.2562091490525393,RITA_s,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,4.5392178185408625,2.4706227035451476,,,3.464536376927404,RITA_s,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3604792052369944,0.3134283683224135,,,0.3375948831566257,RITA_m,pearson,217,,,zero_shot_extended_metrics.csv
,4.487251625811154,2.6573439804453742,,,3.5023408200683237,RITA_m,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,4.848696465556448,2.65475470888816,,,3.692571486350188,RITA_m,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3737581382328982,0.3274742555566989,,,0.3512764348225168,RITA_l,pearson,217,,,zero_shot_extended_metrics.csv
,4.152086736518282,2.4487391282581203,,,3.2283509838214375,RITA_l,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,4.622740998699543,2.5694597362210407,,,3.537739054296466,RITA_l,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3817506812093109,0.33793647301261664,,,0.3601419671933038,RITA_xl,pearson,217,,,zero_shot_extended_metrics.csv
,3.8423951268767644,2.448760176271574,,,3.109867671841862,RITA_xl,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,4.474688355489472,2.4349256199092504,,,3.4024626099577233,RITA_xl,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,0.3455159426273682,0.2953683048242606,,,0.32062624699391845,Progen2_small,pearson,217,,,zero_shot_extended_metrics.csv
,4.540202563507601,2.796360974491303,,,3.5937974452105563,Progen2_small,top20_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
,5.247383121986578,2.8625824257432186,,,3.979812342475341,Progen2_small,top10_enrichment_top1pct,217,,,zero_shot_extended_metrics.csv
