assay,seed,budget,regime,model,features,n_features,ridge,n_train,n_test,spearman_all,top1pct_recall_at_100,best_true_in_pred_top_100,best_true_in_pred_top_100_percentile
A0A247D711_LISMN_Stadelmann_2021.csv,1,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5733852489318911,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,1,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5729909198758865,0.0625,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,1,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5731276459895356,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,2,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.4651529317218234,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,2,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.3996809793282543,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,2,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.08306866104185111,0.058823529411764705,0.8931236372606783,0.9903206291591047
A0A247D711_LISMN_Stadelmann_2021.csv,2,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.4917400464237953,0.11764705882352941,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,2,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.584993794258673,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,2,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5711362142318107,0.11764705882352941,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,2,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5722090137530624,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,2,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.554316303658111,0.125,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,2,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.559504766237526,0.125,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,3,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.438218937510587,0.0,0.8825732239200206,0.9879007864488808
A0A247D711_LISMN_Stadelmann_2021.csv,3,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.3271273592167126,0.0,0.7467814620141523,0.956442831215971
A0A247D711_LISMN_Stadelmann_2021.csv,3,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.2917376986286579,0.058823529411764705,0.8984081369225958,0.9939503932244405
A0A247D711_LISMN_Stadelmann_2021.csv,3,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5496301761199068,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,3,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.518917066596637,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,3,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.553139778875057,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,3,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5893278442619063,0.125,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,3,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5444827017989408,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,3,100,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5581618297709582,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,4,20,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.5279516383873329,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,4,20,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.4002081579730884,0.0,0.8732236002430597,0.9866908650937689
A0A247D711_LISMN_Stadelmann_2021.csv,4,20,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,20,1633,0.34680233958586243,0.0,0.8622635403094541,0.984875983061101
A0A247D711_LISMN_Stadelmann_2021.csv,4,50,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5503176378743108,0.058823529411764705,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,4,50,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5080921226820008,0.11764705882352941,0.9052812992998712,0.9951603145795523
A0A247D711_LISMN_Stadelmann_2021.csv,4,50,single_plus_double,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,50,1603,0.5464154224871196,0.058823529411764705,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,4,100,single_only,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5709573492774155,0.0625,0.9001884929268752,0.9945553539019963
A0A247D711_LISMN_Stadelmann_2021.csv,4,100,mixed_random,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,9,1.0,100,1553,0.5749558723812496,0.0625,0.9001884929268752,0.9945553539019963
