assay,seed,policy,round,n_observed,best_observed_fitness,best_observed_percentile,top1pct_found,pool_size
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,diverse_zscore:ESM3,3,50,2.889,0.9793926247288504,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,diverse_zscore:ESM3,4,60,2.889,0.9793926247288504,0,922
A0A1I9GEU1_NEIME_Kennouche_2019.csv,2,diverse_zscore:ESM3,5,70,2.889,0.9793926247288504,0,922
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,1,30,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,2,40,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,3,50,0.9483991873473964,0.9981851179673321,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,4,60,0.9483991873473964,0.9981851179673321,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,random,5,70,0.9483991873473964,0.9981851179673321,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,1,30,0.9110219323327478,0.9957652752571083,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,2,40,0.9110219323327478,0.9957652752571083,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,3,50,0.9110219323327478,0.9957652752571083,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,4,60,0.9571904214554968,0.9987900786448881,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_lookup,5,70,0.9571904214554968,0.9987900786448881,1,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,1,30,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,2,40,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,3,50,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,4,60,0.8825732239200206,0.9879007864488808,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ProSST-2048,5,70,0.8825732239200206,0.9879007864488808,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,1,30,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,2,40,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,3,50,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,4,60,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,zscore_linear:ESM3,5,70,0.8330900781064109,0.9782214156079855,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,1,30,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,2,40,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,3,50,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,4,60,0.8825732239200206,0.9879007864488808,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,additive_plus_zscore:ProSST-2048,5,70,0.8825732239200206,0.9879007864488808,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,0,20,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,1,30,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,2,40,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,3,50,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,4,60,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,disagreement:additive_vs_ProSST-2048,5,70,0.8251421920508267,0.9751966122202057,0,1653
A0A247D711_LISMN_Stadelmann_2021.csv,0,ensemble_mean:top_methods,0,20,0.8251421920508267,0.9751966122202057,0,1653
