budget,model,method,n_pairs,n_pairs_spearman_doubles,n_pairs_spearman_higher,n_pairs_spearman_all,n_pairs_top1pct_recall_at_100,mean_delta_spearman_doubles,mean_delta_spearman_higher,mean_delta_spearman_all,mean_delta_top1pct_recall_at_100
50,zscore_linear,S3F_MSA,1065,325,40,1065,1065,0.0002797859362500071,0.0,0.0022594562615367445,-0.0027817253276679276
50,zscore_linear,ProSST-2048,1065,325,40,1065,1065,0.0001639765827768544,0.008842960615400904,0.0009477817881664159,-0.0039211532544125675
50,global_mean,mutation_identity,1065,0,0,0,1065,nan,nan,nan,0.002389864831143358
50,mutation_order_mean,mutation_identity,1065,0,0,0,1065,nan,nan,nan,0.004327887029992142
50,multi_zscore_ridge,VenusREM|ProSST-2048|S3F_MSA|S2F_MSA|PoET|RSALOR|ESM3|GEMME|SaProt_650M_AF2,1065,0,0,1065,1065,nan,nan,0.0024000188175057197,-0.005102817847548478
50,zscore_linear,VespaG,1065,325,40,1065,1065,-0.00010306564839016772,-3.1484255007263596e-08,-0.0003436461943841838,-0.0017289593511840566
50,zscore_linear,ProSST-128,1065,325,40,1065,1065,-0.0010871859093022351,0.0,0.002396262986988186,-0.0006146610784977379
50,zscore_linear,S2F,1065,325,40,1065,1065,-0.0013332567296564753,-0.016670499549815965,0.001822341150470303,-0.0035229628275847947
50,zscore_linear,ProSST-4096,1065,325,40,1065,1065,-0.0014044002648203272,0.0,0.0010462366944339605,0.0005612558588463407
50,additive_plus_zscore,VespaG,1065,325,40,1060,1065,-0.008361950432921008,0.025573771725071037,-0.0028941554284879272,0.0029674081434197023
50,additive_lookup,none,1065,280,40,280,1065,-0.01679531410615373,-0.02908802872838604,-0.02294029845791887,0.0030935707543513313
100,onehot_site_ridge,mutation_identity,1060,317,40,323,1060,0.3528585719156974,0.23522317799704306,0.3349420793024896,0.005534682561561699
100,additive_plus_site_ridge,mutation_identity,1060,317,40,322,1060,0.3387372192264169,0.23334739279050437,0.3313961325283676,0.004609359312969416
100,additive_plus_top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1060,320,40,1056,1060,0.13750848252512488,0.1632044869155731,0.004686681928681914,0.007356285029048435
100,top_score_ridge,VenusREM+ProSST-2048+S3F_MSA+S2F_MSA+PoET+ESM3+GEMME+TranceptEVE_L,1060,320,40,1060,1060,0.08175193731395937,0.019564158760814243,0.006122448554415448,-0.00118732384947168
100,additive_plus_zscore,ProSST-1024,1060,320,40,1055,1060,0.05449912031616973,0.2595249893620909,0.014551072216903386,0.016542467883481255
100,additive_plus_zscore,ProSST-128,1060,320,40,1055,1060,0.05092335256810406,0.2690709140553685,0.01722685747808796,0.01937449796568758
100,additive_plus_zscore,ProSST-4096,1060,320,40,1055,1060,0.050339382025319825,0.2937085261973845,0.015403505727907867,0.018192873100980892
100,additive_plus_zscore,ProSST-512,1060,320,40,1055,1060,0.04677503153306299,0.26823892964265494,0.013916433838575392,0.014074067241228673
100,additive_plus_zscore,VenusREM,1060,320,40,1055,1060,0.04486135744456314,0.23234434163528825,0.015237825915486397,0.019132418029441555
100,additive_plus_zscore,ProSST-2048,1060,320,40,1055,1060,0.039868137711474336,0.1958885840777577,0.013003567123407197,0.01671705657198616
100,additive_plus_zscore,ESCOTT,1060,320,40,1055,1060,0.02646345608250807,0.2895541247310568,0.01126824657459328,0.00404088856159894
100,additive_plus_zscore,ESM3,1060,320,40,1055,1060,0.025221261046370857,0.1512222709600824,0.010715519516377748,0.013394753489831272
100,additive_plus_zscore,RSALOR,1060,320,40,1055,1060,0.025192558957363904,0.2804434413420219,0.008470444621153685,0.009665449340239496
